Control1,Control2,Control2,49,31
Control1,Control2,Control2,44,51
Control1,Control2,Control1,65,8
Control1,Control2,Control2,99,1
Control1,Control2,Control2,89,48
Control1,Control2,Control1,34,40
Control1,Control2,Control1,33,20
Control1,Control2,Control2,84,44
Control1,Control2,Control1,24,26
Control1,Control2,Control2,16,1
Control1,Control2,Control1,50,51
Control1,Control2,Control1,37,46
Control1,Control2,Control1,65,55
Control1,Control2,Control1,21,3
Control1,Control2,Control2,132,63
Control1,Control2,Control2,187,27
Control1,Control2,Control1,69,51
Control1,Control2,Control2,125,44
Control1,Control2,Control1,57,30
Control1,Control2,Control1,39,20
Control1,Control2,Control2,48,90
Control1,Control2,Control1,37,14
Control1,Control2,Control2,179,59
Control1,Control2,Control1,34,31
Control1,Control2,Control2,19,100
Control1,Control2,Control1,131,27
Control1,Control2,Control2,78,36
Control1,Control2,Control2,103,78
Control1,Control2,Control1,91,54
Control1,Control2,Control2,78,61
Control1,Control2,Control2,66,4
Control1,Control2,Control2,32,22
Control1,Control2,Control1,41,12
Control1,Control2,Control1,56,42
Control1,Control2,Control2,29,17
Control1,Control2,Control2,84,25
Control1,Control2,Control1,30,64
Control1,Control2,Control1,114,42
Control1,Control2,Control1,56,34
Control1,Control2,Control2,151,49
Control1,Control2,Control1,39,41
Control1,Control2,Control1,20,28
Control1,Control2,Control1,14,96
Control1,Control2,Control1,29,49
Control1,Control2,Control2,85,107
Control1,Control2,Control2,81,34
Control1,Control2,Control2,54,107
Control1,Control2,Control2,13,20
Control1,Control2,Control1,39,23
Control1,Control2,Control2,326,35
Control1,Control2,Control2,18,29
Control1,Control2,Control2,39,33
Control1,Control2,Control1,40,22
Control1,Control2,Control1,66,33
Control1,Control2,Control1,71,30
Control1,Control2,Control2,81,30
Control1,Control2,Control1,53,104
Control1,Control2,Control2,190,33
Control1,Control2,Control2,49,7
Control1,Control2,Control1,82,28
Control1,Control2,Control1,88,15
Control1,Control2,Control1,71,18
Control1,Control2,Control1,46,24
Control1,Control2,Control1,71,87
Control1,Control2,Control2,18,50
Control1,Control2,Control2,46,19
Control1,Control2,Control2,56,28
Control1,Control2,Control1,107,23
Control1,Control2,Control2,109,29
Control1,Control2,Control2,143,49
Control1,Control2,Control1,60,27
Control1,Control2,Control2,47,31
Control1,Control2,Control1,252,39
Control1,Control2,Control2,78,26
Control1,Control2,Control1,48,10
Control1,Control2,Control2,25,48
Control1,Control2,Control1,179,20
Control1,Control2,Control1,131,89
Control1,Control2,Control2,29,10
Control1,Control2,Control1,55,36
Control1,Control2,Control1,50,67
Control1,Control2,Control1,141,46
Control1,Control2,Control2,36,35
Control1,Control2,Control1,32,9
Control1,Control2,Control2,25,4
Control1,Control2,Control2,192,53
Control1,Control2,Control1,20,15
Control1,Control2,Control2,162,11
Control1,Control2,Control2,85,44
Control1,Control2,Control2,85,7
Control1,Control2,Control2,100,51
Control1,Control2,Control2,49,48
Control1,Control2,Control2,21,20
Control1,Control2,Control1,17,56
Control1,Control2,Control1,64,7
Control1,Control2,Control1,18,15
Control1,Control2,Control2,285,42
Control1,Control2,Control2,135,44
Control1,Control2,Control2,69,47
Control1,Control2,Control2,14,55
Control1,Control2,Control1,75,9
Control1,Control2,Control1,152,53
Control1,Control2,Control1,107,41
Control1,Control2,Control1,20,40
Control1,Control2,Control2,190,43
Control1,Control2,Control2,31,22
Control1,Control2,Control2,27,6
Control1,Control2,Control1,36,32
Control1,Control2,Control1,48,40
Control1,Control2,Control2,113,68
Control1,Control2,Control1,35,35
Control1,Control2,Control2,45,3
Control1,Control2,Control2,22,70
Control1,Control2,Control1,42,27
Control1,Control2,Control2,261,77
Control1,Control2,Control2,52,60
Control1,Control2,Control2,18,7
Control1,Control2,Control1,144,88
Control1,Control2,Control1,14,39
Control1,Control2,Control2,51,82
Control1,Control2,Control2,27,54
Control1,Control2,Control1,201,1
Control1,Control2,Control2,74,59
Control1,Control2,Control2,17,23
Control1,Control2,Control2,51,25
Control1,Control2,Control1,75,23
Control1,Control2,Control2,21,4
Control1,Control2,Control2,15,128
Control1,Control2,Control1,39,53
Control1,Control2,Control1,137,4
Control1,Control2,Control1,56,22
Control1,Control2,Control2,69,87
Control1,Control2,Control2,20,84
Control1,Control2,Control1,164,23
Control1,Control2,Control2,128,11
Control1,Control2,Control1,48,57
Control1,Control2,Control1,36,62
Control1,Control2,Control1,13,58
Control1,Control2,Control2,106,37
Control1,Control2,Control2,126,126
Control1,Control2,Control2,160,66
Control1,Control2,Control1,106,13
Control1,Control2,Control1,141,60
Control1,Control2,Control2,52,12
Control1,Control2,Control2,118,69
Control1,Control2,Control1,11,48
Control1,Control2,Control1,31,74
Control1,Control2,Control1,39,1
Control1,Control2,Control1,24,25
Control1,Control2,Control1,175,13
Control1,Control2,Control2,57,71
Control1,Control2,Control2,88,28
Control1,Control2,Control1,59,18
Control1,Control2,Control1,13,3
Control1,Control2,Control1,46,46
Control1,Control2,Control2,29,8
Control1,Control2,Control2,87,57
Control1,Control2,Control1,99,31
Control1,Control2,Control1,83,2
Control1,Control2,Control1,39,37
Control1,Control2,Control1,87,41
Control1,Control2,Control1,29,43
Control1,Control2,Control2,18,15
Control1,Control2,Control2,18,60
Control1,Control2,Control1,75,31
Control1,Control2,Control1,107,51
Control1,Control2,Control1,46,26
Control1,Control2,Control2,49,4
Control1,Control2,Control1,90,16
Control1,Control2,Control1,114,10
Control1,Control2,Control2,58,31
Control1,Control2,Control1,14,26
Control1,Control2,Control1,177,12
Control1,Control2,Control2,31,20
Control1,Control2,Control1,42,56
Control1,Control2,Control2,66,44
Control1,Control2,Control1,39,41
Control1,Control2,Control2,52,51
Control1,Control2,Control1,37,20
Control1,Control2,Control1,145,34
Control1,Control2,Control2,103,23
Control1,Control2,Control2,141,15
Control1,Control2,Control1,36,57
Control1,Control2,Control1,77,48
Control1,Control2,Control2,46,22
Control1,Control2,Control1,165,107
Control1,Control2,Control2,60,11
Control1,Control2,Control1,135,1
Control1,Control2,Control2,18,5
Control1,Control2,Control1,29,8
Control1,Control2,Control1,132,28
Control1,Control2,Control2,76,37
Control1,Control2,Control1,16,59
Control1,Control2,Control1,28,11
Control1,Control2,Control1,77,61
Control1,Control2,Control1,121,20
Control1,Control2,Control1,38,68
Control1,Control2,Control1,63,7
Control1,Control2,Control2,127,3
Control1,Control2,Control2,94,29
Control1,Control2,Control2,50,29
Control1,Control2,Control1,85,39
Control1,Control2,Control2,22,14
Control1,Control2,Control2,84,65
Control1,Control2,Control2,26,60
Control1,Control2,Control1,116,79
Control1,Control2,Control1,62,23
Control1,Control2,Control1,41,64
Control1,Control2,Control2,130,45
