Control,Combination,Control,46,75
Control,Combination,Combination,38,15
Control,Combination,Combination,16,15
Control,Combination,Control,198,10
Control,Combination,Combination,39,35
Control,Combination,Control,87,31
Control,Combination,Combination,14,59
Control,Combination,Combination,132,14
Control,Combination,Combination,42,12
Control,Combination,Control,45,36
Control,Combination,Control,42,46
Control,Combination,Control,45,18
Control,Combination,Control,136,24
Control,Combination,Control,20,23
Control,Combination,Combination,18,23
Control,Combination,Control,187,35
Control,Combination,Combination,28,49
Control,Combination,Combination,77,7
Control,Combination,Combination,43,64
Control,Combination,Control,44,11
Control,Combination,Control,14,59
Control,Combination,Control,192,42
Control,Combination,Control,122,30
Control,Combination,Control,112,20
Control,Combination,Control,102,24
Control,Combination,Control,275,40
Control,Combination,Combination,42,37
Control,Combination,Combination,26,40
Control,Combination,Control,323,22
Control,Combination,Combination,32,32
Control,Combination,Combination,113,4
Control,Combination,Control,22,32
Control,Combination,Control,137,30
Control,Combination,Control,20,53
Control,Combination,Combination,109,40
Control,Combination,Combination,176,19
Control,Combination,Combination,89,52
Control,Combination,Combination,75,18
Control,Combination,Control,186,11
Control,Combination,Control,143,42
Control,Combination,Control,61,67
Control,Combination,Combination,24,9
Control,Combination,Combination,182,40
Control,Combination,Combination,22,34
Control,Combination,Combination,28,68
Control,Combination,Combination,55,17
Control,Combination,Combination,24,77
Control,Combination,Control,19,43
Control,Combination,Control,20,41
Control,Combination,Combination,36,53
Control,Combination,Control,50,14
Control,Combination,Control,91,10
Control,Combination,Control,24,28
Control,Combination,Control,70,52
Control,Combination,Control,84,24
Control,Combination,Combination,101,16
Control,Combination,Combination,40,28
Control,Combination,Control,17,20
Control,Combination,Combination,130,51
Control,Combination,Control,35,49
Control,Combination,Combination,54,30
Control,Combination,Combination,30,13
Control,Combination,Combination,96,7
Control,Combination,Control,77,10
Control,Combination,Control,210,31
Control,Combination,Control,17,41
Control,Combination,Control,55,46
Control,Combination,Combination,49,29
Control,Combination,Control,190,28
Control,Combination,Control,12,62
Control,Combination,Combination,163,30
Control,Combination,Combination,240,39
Control,Combination,Combination,46,38
Control,Combination,Combination,14,38
Control,Combination,Control,76,40
Control,Combination,Combination,190,25
Control,Combination,Control,112,10
Control,Combination,Control,162,40
Control,Combination,Control,121,3
Control,Combination,Combination,13,89
Control,Combination,Control,98,32
Control,Combination,Combination,27,36
Control,Combination,Combination,165,15
Control,Combination,Combination,42,35
Control,Combination,Control,47,51
Control,Combination,Combination,22,26
Control,Combination,Combination,27,51
Control,Combination,Combination,20,11
Control,Combination,Combination,53,50
Control,Combination,Combination,13,75
Control,Combination,Combination,223,9
Control,Combination,Combination,59,17
Control,Combination,Control,48,48
Control,Combination,Control,14,36
Control,Combination,Control,39,15
Control,Combination,Combination,78,64
Control,Combination,Combination,68,30
Control,Combination,Control,27,6
Control,Combination,Control,41,59
Control,Combination,Control,21,39
Control,Combination,Combination,129,5
Control,Combination,Control,31,28
Control,Combination,Combination,21,78
Control,Combination,Control,71,13
Control,Combination,Control,28,32
Control,Combination,Combination,12,34
Control,Combination,Combination,36,21
Control,Combination,Control,43,48
Control,Combination,Control,63,29
Control,Combination,Control,55,49
Control,Combination,Control,122,68
Control,Combination,Combination,34,22
Control,Combination,Combination,22,37
Control,Combination,Control,165,36
Control,Combination,Control,14,154
Control,Combination,Combination,81,44
Control,Combination,Control,25,49
Control,Combination,Control,96,27
Control,Combination,Control,33,82
Control,Combination,Control,45,94
Control,Combination,Control,83,29
Control,Combination,Combination,98,6
Control,Combination,Combination,105,8
